"","e_","site_","sigle","name","iscore","issect","isssamp","descriptor","hasanlam","entloc","localveg","coll_","sampdate","depthatloc","icethickcm","sampdevice","corediamcm","c14depthadj","notes","site_","sitename","sitecode","siteexists","poldiv1","poldiv2","poldiv3","latdeg","latmin","latsec","latns","latdd","latdms","londeg","lonmin","lonsec","lonew","londd","londms","elevation","areaofsite"
"1",10,10,"CARNINO","core I","Y","N","Y","PMIR","N",NA,NA,88,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,10,"Selle di Carnino","ITA-08000-SELL",NA,"ITA","08","000",44,9,0,"N",44.15,"44.09.00N",7,41,40,"E",7.694444,"  7.41.40E",1905,5
"2",19,19,"EDESSA",NA,"Y","N","Y","PMSH","N","2 km SE of Nision",NA,103,"1965-07-00",NA,NA,"Dachnowski corer",3.6,NA,NA,19,"Edessa","GRC-40000-EDES",NA,"GRC","40","000",40,49,5,"N",40.818056,"40.49.05N",21,57,9,"E",21.9525," 21.57.09E",350,2
"3",55,54,"AIG_HOU",NA,"Y","N","Y","UNKN","N",NA,NA,88,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,54,"Aiguillettes des Ouches","FRA-41000-AIGU",NA,"FRA","41","000",45,55,10,"N",45.919444,"45.55.10N",6,50,25,"E",6.840278,"  6.50.25E",1492,NA
"4",56,55,"ALGENDAR",NA,"Y","N","Y","UNKN","N","Lagoons",NA,453,"0000-00-00",2400,NA,"Industrial corer",NA,NA,NA,55,"Algendar","ESP-04000-ALGE",NA,"ESP","04","000",39,56,26,"N",39.940556,"39.56.26N",3,57,31,"E",3.958611,"  3.57.31E",21,NA
"5",57,56,"ALLOS",NA,"Y","N","Y","PMIR","N","Eastern part of the meadows",NA,88,"1972-07-00",0,NA,"Hiller corer",4,NA,NA,56,"Plan du Laus","FRA-04000-PLAN",NA,"FRA","04","000",44,14,30,"N",44.241667,"44.14.30N",6,42,8,"E",6.702222,"  6.42.08E",2121,0.5
"6",68,65,"ANTAS",NA,"Y","N","Y","MCOA","N","NE of Almeria, 1km from Puerto Rey beach",NA,332,"1994-00-00",0,NA,"Industrial corer",10,NA,NA,65,"Antas","ESP-01000-ANTA",NA,"ESP","01","000",37,12,30,"N",37.208333,"37.12.30N",1,49,25,"W",-1.823611,"  1.49.25W",0,NA
"7",73,69,"ARC","core 1","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,69,"Plan Dechaud","FRA-80000-PLAN",NA,"FRA","80","000",45,34,2,"N",45.567222,"45.34.02N",6,49,51,"E",6.830833,"  6.49.51E",2175,0.4
"8",82,78,"AVLAN",NA,"Y","N","Y","UNKN","N",NA,NA,103,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,78,"Avlan Gölü","TUR-08000-AVLA",NA,"TUR","08","000",36,35,0,"N",36.583333,"36.35.00N",29,57,0,"E",29.95," 29.57.00E",1026,NA
"9",113,99,"BESBOG","core 2","Y","N","Y","UNKN","N",NA,NA,172,"1987-00-00",155,NA,"Industrial corer",10,NA,NA,99,"Besbog","BGR-01000-BESB",NA,"BGR","01","000",41,45,0,"N",41.75,"41.45.00N",23,40,0,"E",23.666667," 23.40.00E",2240,NA
"10",114,100,"BEYSEHIR",NA,"Y","N","Y","PMSH","N","SW Turkey, 1.5km E of village Yesildag",NA,103,"1970-06-00",0,NA,"Dachnowski",3.6,NA,NA,100,"Beysehir Gölü I","TUR-53000-BEYS",NA,"TUR","53","000",37,32,30,"N",37.541667,"37.32.30N",31,30,0,"E",31.5," 31.30.00E",1120,20
"11",117,103,"BIOT",NA,"Y","N","Y","UNKN","N","1.5 km from the coast",NA,200,"1995-00-00",NA,NA,"Hammer",NA,NA,NA,103,"Biot","FRA-05000-BIOT",NA,"FRA","05","000",43,48,0,"N",43.8,"43.48.00N",7,6,0,"E",7.1,"  7.06.00E",863,NA
"12",133,117,"BOHNIGSE","core 2","Y","N","Y","UNKN","N",NA,NA,35,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,117,"Boehnigsee Goldmoos","CHE-23000-BOEH",NA,"CHE","23","000",46,15,22,"N",46.256111,"46.15.22N",7,50,39,"E",7.844166,"  7.50.39",2100,NA
"13",154,129,"CAIRN2","core 2","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,129,"Cairn","FRA-80000-CAIR",NA,"FRA","80","000",45,19,53,"N",45.331389,"45.19.53N",6,33,24,"E",6.556667,"  6.33.24E",2315,0.5
"14",174,146,"CLAC2","core 3","Y","N","Y","UNKN","N",NA,NA,189,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,146,"Lac du Clou","FRA-80000-LACD",NA,"FRA","80","000",45,34,2,"N",45.567222,"45.34.02N",6,56,2,"E",6.933889,"  6.56.02E",2375,1.6
"15",175,147,"CLAP69","core 69","Y","N","Y","PMIR","N",NA,"Carex peat",88,"1968-00-00",NA,NA,"Hiller corer",NA,NA,NA,147,"Clapeyret","FRA-05000-CLAP","Y1992","FRA","05","000",44,8,50,"N",44.147222,"44.08.50N",7,14,20,"E",7.238889,"  7.14.20E",2260,1.5
